商品BASE_ID,商品LOG_ID,分類コード,ジャンル1,ジャンル2,ジャンル3,ジャンル4,ジャンル5,ジャンル6,紹介商品名,商品名単独,商品名単独カナ,サイズ数量,型番,通販会社名,販売店名,電話番号,FAX,URL,値段,ISBN,CD・DVD規格NO,JAN,紹介者1,紹介者2,紹介者3,紹介者4,紹介者5,関連人物1,関連人物2,関連人物3,商品概要,紹介状況,ヤフーショッピングURL,ヤフーショッピング画像URL,楽天市場URL,amazonURL,番組LOG_ID,サービスID,放送局,番組開始日時24,番組終了日時24,番組開始日時28,番組終了日時28,番組名,番組ジャンル,シーンID,シーン開始日時24,シーン終了日時24,シーン開始日時28,シーン終了日時28,シーン放送時間,分類,ヘッドライン,商品露出開始時間24,商品露出開始時間28,商品LOG作成日時,商品LOG更新日時,有効_無効フラグ
10313172,5086118,1066,商品,本・コミック,文芸,日本文学,,,ＮＨＫ出版「おむすび・上」,おむすび・上,オムスビ,,,,ＮＨＫ出版,,,https://www.nhk-book.co.jp/,1600円,978-4-14-005745-2,,,,,,,,根本ノンジ／作、青木邦子／ノベライズ,,,ＮＨＫ連続テレビ小説「おむすび」のノベライズです。福岡・糸島で育った平成元年生まれの主人公・米田結が、栄養士として様々な問題を解決しながら人の心と未来を結んでいく姿を描いた平成青春グラフィティです。,ＮＨＫ連続テレビ小説「おむすび」のノベライズです。,https://shopping.yahoo.co.jp/search?p=9784140057452&tab_ex=commerce&oq=&uIv=on&cid=&pf=&pt=&di=&used=0&seller=0&ei=UTF-8&lcnt=353039&view=list,https://item-shopping.c.yimg.jp/i/j/bookfan_bk-4140057459?resolution=2x,https://search.rakuten.co.jp/search/mall/9784140057452/,https://www.amazon.co.jp/s?k=9784140057452,33529296,400,NHK,2024/12/06 8:00,2024/12/06 8:15,2024/12/06 8:00,2024/12/06 8:15,【連続テレビ小説】おむすび,ドラマ D,465248987,2024/12/06 8:01,2024/12/06 8:02,2024/12/06 8:01,2024/12/06 8:02,0:01:11,文化・芸能,オープニング,2024/12/06 8:01,2024/12/06 8:01,2024/12/06 8:08,2024/12/06 8:27,0
10313172,5086261,1066,商品,本・コミック,文芸,日本文学,,,ＮＨＫ出版「おむすび・上」,おむすび・上,オムスビ,,,,ＮＨＫ出版,,,https://www.nhk-book.co.jp/,1600円,978-4-14-005745-2,,,,,,,,根本ノンジ／作、青木邦子／ノベライズ,,,ＮＨＫ連続テレビ小説「おむすび」のノベライズです。福岡・糸島で育った平成元年生まれの主人公・米田結が、栄養士として様々な問題を解決しながら人の心と未来を結んでいく姿を描いた平成青春グラフィティです。,ＮＨＫ連続テレビ小説「おむすび」のノベライズです。,https://shopping.yahoo.co.jp/search?p=9784140057452&tab_ex=commerce&oq=&uIv=on&cid=&pf=&pt=&di=&used=0&seller=0&ei=UTF-8&lcnt=353039&view=list,https://item-shopping.c.yimg.jp/i/j/bookfan_bk-4140057459?resolution=2x,https://search.rakuten.co.jp/search/mall/9784140057452/,https://www.amazon.co.jp/s?k=9784140057452,33529299,400,NHK,2024/12/06 12:45,2024/12/06 13:00,2024/12/06 12:45,2024/12/06 13:00,【連続テレビ小説】おむすび（再）,ドラマ D,465252396,2024/12/06 12:46,2024/12/06 12:47,2024/12/06 12:46,2024/12/06 12:47,0:01:11,文化・芸能,オープニング,2024/12/06 12:46,2024/12/06 12:46,2024/12/06 12:54,2024/12/06 13:15,0
10321760,5086372,1066,商品,本・コミック,文芸,日本文学,,,樹芸書房「能登ぁいらんかね」,能登ぁいらんかね,ノトァイランカネ,,,,樹芸書房,,,,,978-4-915245-81-7,,,,,,,,皆森禮子,,,伝承の里ことばを用いながら著者が幼年期のころの豊かな古き良き能登と若い日の家族の思い出を記した自分史です。,能登半島地震による被害を受けながらも再出発した老舗書店の奮闘に密着した中で紹介されました。,https://shopping.yahoo.co.jp/search?p=9784915245817&tab_ex=commerce&oq=&uIv=on&cid=&pf=&pt=&di=&used=0&seller=0&ei=UTF-8&lcnt=353039&view=list,https://item-shopping.c.yimg.jp/i/j/honyaclubbook_9784915245817?resolution=2x,https://search.rakuten.co.jp/search/mall/9784915245817/,https://www.amazon.co.jp/s?k=9784915245817,33536691,400,NHK,2024/12/06 17:18,2024/12/06 18:00,2024/12/06 17:18,2024/12/06 18:00,午後ＬＩＶＥニュースーン,ニュース/報道 A,465254745,2024/12/06 17:43,2024/12/06 17:56,2024/12/06 17:43,2024/12/06 17:56,0:12:20,暮らし,＜トクシュ～ン＞能登半島地震・被災地のいま,2024/12/06 17:52,2024/12/06 17:52,2024/12/06 18:30,2024/12/06 18:46,0
10039582,5086439,1080,商品,本・コミック,コミック・アニメ,コミック全般,,,秋田書店「がきデカ・第1巻」,がきデカ・第1巻,ガキデカ,,,,秋田書店,,,https://www.akitashoten.co.jp/,454円,978-4-253-03264-3,,,,,,,,山上たつひこ,,,日本初の少年警察官と自称する主人公と周りの人々で展開されるギャグ漫画です。,警察官やパイロットの帽子の形の理由を調査した中で紹介されました。,https://shopping.yahoo.co.jp/search?first=1&tab_ex=commerce&fr=shp-prop&oq=&aq=&mcr=324aeb6387e726a29af40a8fb6d2f14b&ts=1490980392&sc_i=shp_pc_top_searchBox&cid=&p=%e3%81%8c%e3%81%8d%e3%83%87%e3%82%ab++%e5%b1%b1%e4%b8%8a%e3%81%9f%e3%81%a4%e3%81%b2%e3%81%93&di=&uIv=on&used=0&pf=&pt=&seller=0&payment=,https://item-shopping.c.yimg.jp/i/g/dorama2_n07328847,https://search.rakuten.co.jp/search/mall/%e3%81%8c%e3%81%8d%e3%83%87%e3%82%ab++%e5%b1%b1%e4%b8%8a%e3%81%9f%e3%81%a4%e3%81%b2%e3%81%93/,https://www.amazon.co.jp/s/ref=nb_sb_noss?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&url=search-alias%3Daps&field-keywords=%e3%81%8c%e3%81%8d%e3%83%87%e3%82%ab++%e5%b1%b1%e4%b8%8a%e3%81%9f%e3%81%a4%e3%81%b2%e3%81%93,33528783,400,NHK,2024/12/06 19:57,2024/12/06 20:42,2024/12/06 19:57,2024/12/06 20:42,チコちゃんに叱られる！,バラエティー C,465255979,2024/12/06 20:17,2024/12/06 20:23,2024/12/06 20:17,2024/12/06 20:23,0:06:28,文化・芸能,警察官やパイロットの帽子は上が出っ張っているのは天使の輪をのせたかったから,2024/12/06 20:22,2024/12/06 20:22,2024/12/06 20:41,2024/12/06 22:38,0
10319499,5086227,1028,商品,本・コミック,生活,生活全般,,,ＫＡＤＯＫＡＷＡ「3分クッキング・2024年12月号」,3分クッキング・2024年12月号,サンプンクッキング,,,,ＫＡＤＯＫＡＷＡ,,,https://www.kadokawa.co.jp/,635円,4.91014E+12,,,,,,,,,,,料理番組「キユーピー3分クッキング」のテキストブックです。講師による多彩な献立や季節のテーマに合わせた料理レシピなどを紹介しています。,日本テレビ系料理番組「キユーピー3分クッキング」のテキストとして紹介されました。,https://shopping.yahoo.co.jp/search?p=3%E5%88%86%E3%82%AF%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0+2024%E5%B9%B412%E6%9C%88%E5%8F%B7&tab_ex=commerce&oq=&uIv=on&cid=&pf=&pt=&di=&used=0&seller=0&ei=UTF-8&lcnt=353039&view=list,https://item-shopping.c.yimg.jp/i/j/tower_6643446?resolution=2x,https://search.rakuten.co.jp/search/mall/3%E5%88%86%E3%82%AF%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0+2024%E5%B9%B412%E6%9C%88%E5%8F%B7/,https://www.amazon.co.jp/s?k=3%E5%88%86%E3%82%AF%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0+2024%E5%B9%B412%E6%9C%88%E5%8F%B7,33529522,410,NTV,2024/12/06 11:45,2024/12/06 11:55,2024/12/06 11:45,2024/12/06 11:55,キユーピー３分クッキング,趣味/教育 F,465252089,2024/12/06 11:46,2024/12/06 11:53,2024/12/06 11:46,2024/12/06 11:53,0:07:09,暮らし,帆立とキーウィのカルパッチョ＆帆立の梅わさびあえ,2024/12/06 11:53,2024/12/06 11:53,2024/12/06 11:57,2024/12/06 13:15,0
10105707,5086270,1025,商品,本・コミック,生活,料理,,,ＩＮＦＡＳパブリケーションズ「キャイ～ン天野ひろゆきのとっておきオレシピ」,キャイ～ン天野ひろゆきのとっておきオレシピ,キャイーンアマノヒロユキノトッテオキオレシピ,,,,ＩＮＦＡＳパブリケーションズ,,,https://www.infaspub.co.jp/,1430円,978-4-904843-09-3,,,,,,,,天野ひろゆき,,,テレビ番組で料理の腕前を度々披露しているお笑い芸人の本格レシピを多数掲載した1冊です。,美食芸能人と名店料理人が厳選する鍋スープの素を特集した中で紹介されました。,https://shopping.yahoo.co.jp/search?p=9784904843093&tab_ex=commerce&oq=&uIv=on&cid=&pf=&pt=&di=&used=0&seller=0&ei=UTF-8&lcnt=353039&view=list,https://item-shopping.c.yimg.jp/i/p/bookfan_bk-4904843096,https://search.rakuten.co.jp/search/mall/%E3%82%AD%E3%83%A3%E3%82%A4+%E3%83%B3%E5%A4%A9%E9%87%8E%E3%81%B2%E3%82%8D%E3%82%86%E3%81%8D%E3%81%AE%E3%81%A8%E3%81%A3%E3%81%A6%E3%81%8A%E3%81%8D%E3%82%AA%E3%83%AC%E3%82%B7%E3%83%94+%E5%A4%A9%E9%87%8E%E3%81%B2%E3%82%8D%E3%82%86%E3%81%8D/,https://www.amazon.co.jp/s/ref=nb_sb_noss_1?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&url=search-alias%3Daps&field-keywords=%e3%82%ad%e3%83%a3%e3%82%a4+%e3%83%b3%e5%a4%a9%e9%87%8e%e3%81%b2%e3%82%8d%e3%82%86%e3%81%8d%e3%81%ae%e3%81%a8%e3%81%a3%e3%81%a6%e3%81%8a%e3%81%8d%e3%82%aa%e3%83%ac%e3%82%b7%e3%83%94+%e5%a4%a9%e9%87%8e%e3%81%b2%e3%82%8d%e3%82%86%e3%81%8d,33529617,410,NTV,2024/12/06 11:55,2024/12/06 13:55,2024/12/06 11:55,2024/12/06 13:55,ヒルナンデス！,情報/ワイドショー B,465252319,2024/12/06 12:48,2024/12/06 12:54,2024/12/06 12:48,2024/12/06 12:54,0:05:50,暮らし,絶品！鍋スープの素・買いたいＢＥＳＴ１,2024/12/06 12:50,2024/12/06 12:50,2024/12/06 13:18,2024/12/06 13:45,0
10167408,5086271,1025,商品,本・コミック,生活,料理,,,主婦と生活社「キャイ～ン天野っちの胃袋を掴む絶品肉おかず100」,キャイ～ン天野っちの胃袋を掴む絶品肉おかず100,キャインアマノッチノイブクロヲツカムゼッピンニクオカズヒャク,,,,主婦と生活社,,,https://www.shufu.co.jp/,1400円,978-4-391-15557-0,,,,,,,,天野ひろゆき,,,食卓の主役になる肉料理をメインに、肉料理にあうサラダや副菜、デザートなど100レシピを紹介したレシピ本です。,美食芸能人と名店料理人が厳選する鍋スープの素ベスト1を特集した中で紹介されました。,https://shopping.yahoo.co.jp/search?p=978-4-391-15557-0&tab_ex=commerce&oq=&uIv=on&cid=&pf=&pt=&di=&used=0&seller=0&ei=UTF-8&lcnt=353039&view=list,https://item-shopping.c.yimg.jp/i/p/dorama2_n34140131,https://search.rakuten.co.jp/search/mall/%E3%82%AD%E3%83%A3%E3%82%A4%EF%BD%9E%E3%83%B3%E5%A4%A9%E9%87%8E%E3%81%A3%E3%81%A1%E3%81%AE%E8%83%83%E8%A2%8B%E3%82%92%E6%8E%B4%E3%82%80%E7%B5%B6%E5%93%81%E8%82%89%E3%81%8A%E3%81%8B%E3%81%9A100/,https://www.amazon.co.jp/s?k=%E3%82%AD%E3%83%A3%E3%82%A4%EF%BD%9E%E3%83%B3%E5%A4%A9%E9%87%8E%E3%81%A3%E3%81%A1%E3%81%AE%E8%83%83%E8%A2%8B%E3%82%92%E6%8E%B4%E3%82%80%E7%B5%B6%E5%93%81%E8%82%89%E3%81%8A%E3%81%8B%E3%81%9A100,33529617,410,NTV,2024/12/06 11:55,2024/12/06 13:55,2024/12/06 11:55,2024/12/06 13:55,ヒルナンデス！,情報/ワイドショー B,465252319,2024/12/06 12:48,2024/12/06 12:54,2024/12/06 12:48,2024/12/06 12:54,0:05:50,暮らし,絶品！鍋スープの素・買いたいＢＥＳＴ１,2024/12/06 12:50,2024/12/06 12:50,2024/12/06 13:19,2024/12/06 13:45,0
10321712,5086325,1059,商品,本・コミック,文芸,ノンフィクション,,,集英社「じぶんＢＩＧ・ＬＯＶＥ！～ゆりやん体づくり本～」,じぶんＢＩＧ・ＬＯＶＥ！～ゆりやん体づくり本～,ジブンビッグラブユリヤンカラダヅクリホン,,,,集英社,,,https://www.shueisha.co.jp/,1870円,978-4-08-781758-4,,,,,,,,ゆりやんレトリィバァ／著、岡部友／監修,,,女性お笑いタレントがパーソナルトレーナーと二人三脚で挑んだボディメイクの全容を大公開した一冊です。,女性お笑いタレントの書籍発売記念イベントが開催された話題で紹介されました。,https://shopping.yahoo.co.jp/search?p=%E3%81%98%E3%81%B6%E3%82%93BIG+LOVE%EF%BC%81%EF%BD%9E%E3%82%86%E3%82%8A%E3%82%84%E3%82%93%E4%BD%93%E3%81%A5%E3%81%8F%E3%82%8A%E6%9C%AC%EF%BD%9E&tab_ex=commerce&oq=&uIv=on&cid=&pf=&pt=&di=&used=0&seller=0&ei=UTF-8&lcnt=353039&view=list,https://item-shopping.c.yimg.jp/i/j/bookfan_bk-408781758x?resolution=2x,https://search.rakuten.co.jp/search/mall/%E3%81%98%E3%81%B6%E3%82%93BIG+LOVE%EF%BC%81%EF%BD%9E%E3%82%86%E3%82%8A%E3%82%84%E3%82%93%E4%BD%93%E3%81%A5%E3%81%8F%E3%82%8A%E6%9C%AC%EF%BD%9E/,https://www.amazon.co.jp/s?k=%E3%81%98%E3%81%B6%E3%82%93BIG+LOVE%EF%BC%81%EF%BD%9E%E3%82%86%E3%82%8A%E3%82%84%E3%82%93%E4%BD%93%E3%81%A5%E3%81%8F%E3%82%8A%E6%9C%AC%EF%BD%9E,33529591,410,NTV,2024/12/06 15:50,2024/12/06 19:00,2024/12/06 15:50,2024/12/06 19:00,ｎｅｗｓｅｖｅｒｙ．,ニュース/報道 A,465254200,2024/12/06 16:18,2024/12/06 16:19,2024/12/06 16:18,2024/12/06 16:19,0:01:16,文化・芸能,＜４時コレ＞ゆりやんレトリィバァ・書籍「じぶんＢＩＧＬＯＶＥ！～ゆりやん体づくり本～」発売記念会見,2024/12/06 16:18,2024/12/06 16:18,2024/12/06 16:18,2024/12/06 16:36,0
10320348,5086479,1080,商品,本・コミック,コミック・アニメ,コミック全般,,,集英社「株式会社マジルミエ・15」,株式会社マジルミエ・15,カブシキガイシャマジルミエ,,,,集英社,,,https://www.shueisha.co.jp/,792円,978-4-08-884293-6,,,,,,,,青木裕／著者、岩田雪花／原作,,,就職活動に苦戦する女子大生が、面接先で巻き込まれた事件を切っ掛けにベンチャー企業「株式会社マジルミエ」に魔法少女として新卒入社することになる漫画です。2025年1月4日発売予定です。,日本テレビ系アニメ「株式会社マジルミエ」の原作です。,https://shopping.yahoo.co.jp/search?first=1&tab_ex=commerce&ei=UTF-8&fr=shp-prop&cid=&p=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%9E%E3%82%B8%E3%83%AB%E3%83%9F%E3%82%A8+,,https://search.rakuten.co.jp/search/mall/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%9E%E3%82%B8%E3%83%AB%E3%83%9F%E3%82%A8+/,https://www.amazon.co.jp/s?k=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%9E%E3%82%B8%E3%83%AB%E3%83%9F%E3%82%A8,33529330,410,NTV,2024/12/06 23:00,2024/12/06 23:30,2024/12/06 23:00,2024/12/06 23:30,株式会社マジルミエ,アニメ/特撮 D,465256356,2024/12/06 23:00,2024/12/06 23:02,2024/12/06 23:00,2024/12/06 23:02,0:01:40,文化・芸能,オープニング,2024/12/06 23:00,2024/12/06 23:00,2024/12/06 23:44,2024/12/07 0:25,0
10315090,5086580,1080,商品,本・コミック,コミック・アニメ,コミック全般,,,講談社「聖☆おにいさん（21）」,聖☆おにいさん（21）,セイントオニイサン,,,,講談社,,,https://www.kodansha.co.jp/,690円,978-4-06-534952-6,,,,,,,,中村光,,,ブッダとイエスが下界のバカンスを満喫するため、日本の安アパートで暮らす姿を描いたぬくぬくコメディです。,映画「聖☆おにいさん・ＴＨＥ・ＭＯＶＩＥ～ホーリーメンＶＳ悪魔軍団～」の原作として紹介されました。,https://shopping.yahoo.co.jp/search?p=9784065349526&tab_ex=commerce&oq=&uIv=on&cid=&pf=&pt=&di=&used=0&seller=0&ei=UTF-8&lcnt=353039&view=list,https://item-shopping.c.yimg.jp/i/j/honyaclubbook_9784065349526?resolution=2x,https://search.rakuten.co.jp/search/mall/9784065349526/,https://www.amazon.co.jp/s?k=9784065349526,33528854,410,NTV,2024/12/07 1:59,2024/12/07 2:44,45633.08264,45633.11389,夜バゲット,情報/ワイドショー B,465257720,2024/12/07 2:01,2024/12/07 2:08,45633.08421,45633.08907,0:07:00,文化・芸能,映画「聖☆おにいさんＴＨＥＭＯＶＩＥ～ホーリーメンＶＳ悪魔軍団～」告知,2024/12/07 2:02,45633.08495,2024/12/07 2:41,2024/12/07 5:11,0
